ticker,name,market_cap,trailing_pe,price_to_book,roe,profit_margin,revenue_growth,debt_to_equity,current_price,52w_high,52w_low
1109.HK,CR Land,214356033536,7.2433734,0.6350551,0.08041,0.09031,-0.066,80.398,30.06,39.88,26.7
0688.HK,COLI,137139388416,9.281481,0.29951447,0.028210001,0.060960002,0.173,55.67,12.53,16.7,11.36
0960.HK,Longfor Group,43440496640,,0.22550143,-0.00234,-0.0029699998,-0.323,67.782,6.31,12.24,5.92
2202.HK,China Vanke,28633702400,,0.2403139,-0.36116,-0.46178,-0.387,170.551,2.4,5.94,2.1
0817.HK,China Jinmao,17836455936,26.400002,0.38782415,0.01812,0.01872,-0.147,99.844,1.32,2.04,1.16
3900.HK,Greentown China,15897887744,208.66667,0.3888447,0.010240001,-0.00041,-0.26,121.47,6.26,11.98,6.235
0123.HK,Yuexiu Property,13122781184,,0.20272945,-0.0028799998,-0.01625,-0.23,97.934,3.26,5.43,3.24
1918.HK,Sunac China,12032951296,,0.29666108,-0.35014,-0.29083002,-0.182,475.687,0.605,1.92,0.51
0754.HK,Hopson Development,10012308480,,0.10734326,-0.01706,-0.08806,-0.531,73.388,2.64,3.72,2.61
2007.HK,Country Garden,8866363392,1.3571428,-0.56420887,0.1762,0.053189997,-0.393,468.417,0.19,0.72,0.16
3380.HK,Logan Group,7672932352,,0.3809818,-0.16483,-0.83041,-0.558,428.6,1.39,1.93,0.83
0119.HK,Poly Property,5196809216,,0.1364487,-0.00735,-0.01606,-0.182,145.357,1.36,2.55,1.36
3383.HK,Agile Group,832597888,,-0.05635453,-0.755,-0.77217,-0.357,273.469,0.165,0.56,0.138
1238.HK,Powerlong,782536128,,0.02568783,-0.11452,-0.2178,-0.382,127.962,0.189,0.355,0.174
2777.HK,R&F Properties,716702144,,-0.14983049,-0.90696996,-1.5011301,0.483,1228.898,0.191,0.77,0.191
0884.HK,CIFI Holdings,635447552,0.020320855,0.038476467,0.32794997,1.0183799,-0.631,91.91,0.038,0.265,0.033
0813.HK,Shimao Group,591394624,0.01350711,-0.074292324,,0.70139,-0.261,2913.241,0.057,0.45,0.056
3377.HK,Sino-Ocean Group,582589952,0.07796611,-0.6922819,-11.135711,-0.69561994,0.063,,0.046,0.181,0.045
1638.HK,Kaisa Group,457081152,0.0074766353,0.030197892,,5.53197,-0.054,445.676,0.04,0.22,0.033
1813.HK,KWG Group,317956192,,0.46371326,-0.59629,-0.77797997,-0.504,1313.665,0.093,0.295,0.092
