ticker,name,market_cap,trailing_pe,price_to_book,roe,profit_margin,revenue_growth,debt_to_equity,current_price,52w_high,52w_low,period_return_pct,annualized_volatility_pct,max_drawdown_pct,range_position_pct,pe_score,pb_score,valuation_score,roe_score,margin_score,profitability_score,growth_score,health_score,momentum_score,stability_score,momentum_stability_score,overall_score,contrib_valuation_score,contrib_profitability_score,contrib_growth_score,contrib_health_score,contrib_momentum_stability_score,data_completeness
0688.HK,COLI,137139388416,9.281481,0.29951447,0.028210001,0.060960002,0.173,55.67,12.53,16.7,11.36,27.6,38.3,-34.8,21.9,95.6,25.3,60.449999999999996,97.4,22.2,59.800000000000004,72.2,100.0,51.3,100.0,75.65,72.2,15.1,15.0,10.8,20.0,11.3,4/4
1109.HK,CR Land,214356033536,7.2433734,0.6350551,0.08041,0.09031,-0.066,80.398,30.06,39.88,26.7,74.0,39.2,-31.9,25.5,96.5,0.0,48.25,97.8,22.6,60.2,50.7,99.1,71.5,99.2,85.35,67.3,12.1,15.0,7.6,19.8,12.8,4/4
0817.HK,China Jinmao,17836455936,26.400002,0.38782415,0.01812,0.01872,-0.147,99.844,1.32,2.04,1.16,139.4,67.5,-47.9,18.2,87.4,18.6,53.0,97.3,21.6,59.45,43.4,98.5,100.0,72.8,86.4,67.3,13.2,14.9,6.5,19.7,13.0,4/4
2007.HK,Country Garden,8866363392,1.3571428,-0.56420887,0.1762,0.053189997,-0.393,468.417,0.19,0.72,0.16,-59.4,60.0,-75.8,5.4,99.4,90.4,94.9,98.7,22.1,60.400000000000006,21.4,85.6,13.4,79.8,46.6,66.1,23.7,15.1,3.2,17.1,7.0,4/4
1638.HK,Kaisa Group,457081152,0.0074766353,0.030197892,,5.53197,-0.054,445.676,0.04,0.22,0.033,-47.3,121.1,-94.5,3.7,100.0,45.6,72.8,50.0,100.0,75.0,51.8,86.4,18.7,22.8,20.75,65.1,18.2,18.8,7.8,17.3,3.1,3/4
0119.HK,Poly Property,5196809216,,0.1364487,-0.00735,-0.01606,-0.182,145.357,1.36,2.55,1.36,20.1,45.9,-39.7,0.0,50.0,37.6,43.8,97.1,21.1,59.099999999999994,40.3,96.9,48.0,92.9,70.45,61.7,11.0,14.8,6.0,19.4,10.6,4/4
0123.HK,Yuexiu Property,13122781184,,0.20272945,-0.0028799998,-0.01625,-0.23,97.934,3.26,5.43,3.24,1.8,48.9,-55.8,0.9,50.0,32.6,41.3,97.1,21.1,59.099999999999994,36.0,98.5,40.1,90.1,65.1,60.0,10.3,14.8,5.4,19.7,9.8,4/4
0884.HK,CIFI Holdings,635447552,0.020320855,0.038476467,0.32794997,1.0183799,-0.631,91.91,0.038,0.265,0.033,-84.3,107.9,-96.1,2.2,100.0,44.9,72.45,100.0,35.8,67.9,0.0,98.7,2.6,35.1,18.85,57.7,18.1,17.0,0.0,19.7,2.8,4/4
0960.HK,Longfor Group,43440496640,,0.22550143,-0.00234,-0.0029699998,-0.323,67.782,6.31,12.24,5.92,-16.3,56.9,-66.7,6.2,50.0,30.9,40.45,97.1,21.3,59.199999999999996,27.6,99.6,32.2,82.7,57.45,57.6,10.1,14.8,4.1,19.9,8.6,4/4
0754.HK,Hopson Development,10012308480,,0.10734326,-0.01706,-0.08806,-0.531,73.388,2.64,3.72,2.61,0.0,54.7,-57.4,2.7,50.0,39.8,44.9,97.0,20.1,58.55,9.0,99.4,39.3,84.7,62.0,56.4,11.2,14.6,1.3,19.9,9.3,4/4
2777.HK,R&F Properties,716702144,,-0.14983049,-0.90696996,-1.5011301,0.483,1228.898,0.191,0.77,0.191,-73.4,101.6,-93.0,0.0,50.0,59.1,54.55,89.2,0.0,44.6,100.0,58.9,7.3,41.0,24.15,55.2,13.6,11.2,15.0,11.8,3.6,4/4
1238.HK,Powerlong,782536128,,0.02568783,-0.11452,-0.2178,-0.382,127.962,0.189,0.355,0.174,-65.0,84.4,-82.9,8.3,50.0,45.9,47.95,96.1,18.2,57.15,22.4,97.5,11.0,57.0,34.0,54.2,12.0,14.3,3.4,19.5,5.1,4/4
2202.HK,China Vanke,28633702400,,0.2403139,-0.36116,-0.46178,-0.387,170.551,2.4,5.94,2.1,-35.7,73.9,-82.3,7.8,50.0,29.7,39.85,94.0,14.8,54.4,21.9,96.0,23.7,66.8,45.25,52.8,10.0,13.6,3.3,19.2,6.8,4/4
3900.HK,Greentown China,15897887744,208.66667,0.3888447,0.010240001,-0.00041,-0.26,121.47,6.26,11.98,6.235,31.2,52.0,-50.6,0.4,0.0,18.5,9.25,97.2,21.3,59.25,33.3,97.7,52.9,87.2,70.05,52.2,2.3,14.8,5.0,19.5,10.5,4/4
3380.HK,Logan Group,7672932352,,0.3809818,-0.16483,-0.83041,-0.558,428.6,1.39,1.93,0.83,92.7,60.4,-49.3,50.9,50.0,19.1,34.55,95.7,9.5,52.6,6.6,86.9,79.7,79.4,79.55000000000001,52.1,8.6,13.2,1.0,17.4,11.9,4/4
1918.HK,Sunac China,12032951296,,0.29666108,-0.35014,-0.29083002,-0.182,475.687,0.605,1.92,0.51,-30.4,110.0,-88.5,6.7,50.0,25.5,37.75,94.1,17.2,55.65,40.3,85.3,26.0,33.2,29.6,50.9,9.4,13.9,6.0,17.1,4.4,4/4
3383.HK,Agile Group,832597888,,-0.05635453,-0.755,-0.77217,-0.357,273.469,0.165,0.56,0.138,-58.3,136.9,-92.8,6.4,50.0,52.1,51.05,90.6,10.4,50.5,24.6,92.4,13.9,8.1,11.0,49.2,12.8,12.6,3.7,18.5,1.6,4/4
3377.HK,Sino-Ocean Group,582589952,0.07796611,-0.6922819,-11.135711,-0.69561994,0.063,,0.046,0.181,0.045,-79.6,109.1,-92.6,0.7,100.0,100.0,100.0,0.0,11.5,5.75,62.3,50.0,4.6,34.0,19.3,48.7,25.0,1.4,9.3,10.0,2.9,3/4
1813.HK,KWG Group,317956192,,0.46371326,-0.59629,-0.77797997,-0.504,1313.665,0.093,0.295,0.092,-58.2,109.1,-89.9,0.5,50.0,12.9,31.45,91.9,10.3,51.1,11.4,56.0,13.9,34.0,23.95,37.1,7.9,12.8,1.7,11.2,3.6,4/4
0813.HK,Shimao Group,591394624,0.01350711,-0.074292324,,0.70139,-0.261,2913.241,0.057,0.45,0.056,-90.2,145.6,-97.9,0.3,100.0,53.4,76.7,50.0,31.3,40.65,33.2,0.0,0.0,0.0,0.0,34.3,19.2,10.2,5.0,0.0,0.0,3/4
